Class,Name,Prereq,Desc,SP,Type,In?,notes
,Smiting Smash,Hammer Down 3,"Strike, then push target away.",3,Attack,,PostBattle
,Calamitous Smash,"PROMO, Smiting Smash 3",A baneful smash that berserks.,3,Attack (Ailment),,
,Clawbinder,"Cleansing Rage 2, Malignant Strike 3",Call upon dragon to attack and armbind.,5,Attack (Ailment),,
,Firebreathing,"Draconic Fury 2, Flame Smash 3",Call upon dragon to breathe deadly flame.,5,Attack,,PostBattle
,Devour,"PROMO, Firebreathing 5, Clawbinder 5",Call upon dragon to consume enemies whole.,5,Attack,,
,,,,,,,
Apothecary,Forager,None,Collect healing items when ending turn on turns 1-3.,1,Passive,-,
Botanist,Harsh Herbs,None,1.5x Atk against debuffed foes.,1,Passive,X,
,Potent Herbs,Knockout Herb 1,Statuses caused by herbs last 1 extra turn. idk change it,1,Passive (Ailment),,
,Maximize Potential,PROMO,Doubles effectiveness of common Stat+ passives.,1,Passive,X,
,Sluggish Herb,None,Debuff enemy Spd/Mov.,2,Active (Debuff),,
,Fragile Herb,None,Debuff enemy Atk/Def.,2,Active (Debuff),,
,Knockout Herb,"Sluggish Herb 1, Fragile Herb 1",Force enemies into a slumber.,2,Active (Ailment),,
,Healing Herb,None,Restore HP to a nearby ally.,3,Active (Support),,
,Refreshing Herb,Healing Herb 2,Removes status afflictions/binds.,3,Active (Support),,
,Herb Boost,Healing Herb 3,Healed allies get bonus Atk/AS.,3,Passive (Buff),,
,Smoke Bomb,Knockout Herb 1,A fire attack that can blind enemies.,3,Attack (Ailment),,
,Fury Herb,"PROMO, Potent Herbs 1, Herb Boost 3",Berserk a unit and massively buff their Atk.,3,Active (Buff),,
,Corrosive Herb,"Knockout Herb 2, Herb Boost 3",Poison an enemy while debuffing all stats.,5,Active (Debuff),,
,Trapped Herb,Smoke Bomb 3,Place a devastating herbal mine.,5,Active (Support),,
,Miracle Herb,"PROMO, Fury Herb 3, Corrosive Herb 5",Afflict all enemies in range with random debuffs/ailments.,5,Active (Debuff),,
,,,,,,,
Encircler,Focused Defense,None,1.2x Def while in a Circle state.,1,Passive (State),,
Arcanist,Life's Flow,None,Allies in Circle's range recover HP passively.,1,Passive (State),,
,Blessed Guard,Atrophic Circle 2,Allies in Circle's range have 1.2x Atk.,1,Passive (State),,
,Unrooted,PROMO,User now has 1 Mov in Circle state.,1,Passive (State),,
,Charming Circle,None,Debuffs Atk/Hit/Crit/AS in area at start of turn.,2,Active (State),,Turn Start
,Atrophic Circle,Charming Circle 1,Debuffs Def/Luck/Mov in area at start of turn.,2,Active (State),,Turn Start
,Draining Circle,Atrophic Circle 1,Saps enemy HP in area into user at start of turn.,2,Active (State),,Turn Start
,Muting Circle,None,Afflicts head bind in an area at start of turn.,3,Active (State),,Turn Start
,Toxic Circle,None,Afflicts poison in an area at start of turn.,3,Active (State),,Turn Start
,Slumbering Circle,Muting Circle 2,Afflicts sleep in an area at start of turn.,3,Active (State),,Turn Start
,Chaos Circle,Toxic Circle 2,Afflicts berserk in an area at start of turn.,3,Active (State),,Turn Start
,Stoning Circle,"PROMO, Slumbering Circle 3, Chaos Circle 3",Afflicts stone in an area at start of turn.,3,Active (State),,Turn Start
,Heal Burst,"Charming Circle 1, Muting Circle 1",Cancel circle to heal allies in an area next turn.,5,Active (State),,Turn Start
,Mighty Burst,"Atrophic Circle 2, Toxic Circle 3",Cancel circle for a powerful attack next turn.,5,Active (State),,Turn Start
,Cataclysm Burst,"PROMO, Mighty Burst 5, Draining Circle 2",Cancel circle to inflict on entire map next turn.,5,Active (State),,Turn Start
,,,,,,,
Caller,Call Spirit,None,Use Summon to call a Soul. Soul cap is 3.,1,Active (Support),X,
Necromancer,Soul Swap,Call Spirit 1,User can swap positions with any Soul/Souldier.,1,Active (Cond.),,
,Soul Pull,Soul Swap 1,Destroy a soul to recall an ally to its position.,1,Active (Cond.),,
,Greater Spirit,"PROMO, Call Spirit 1",Summon now calls Souldiers. Souldier cap is 3.,1,Active (Support),X,
,Soul Barrier,Call Spirit 1,Destroy a soul to buff ally Def/Res/Luck.,2,Active (Buff),,
,Soul Charge,Soul Shield 1,Destroy a soul to buff ally Atk/Hit/Crit.,2,Active (Buff),,
,Soul Boon,Soul Charge 1,Destroy a soul to recover allied HP.,2,Active (Support),,
,Spirit Bomb,Call Spirit 1,Destroy a soul for a powerful magic strike.,3,Attack (Cond.),,
,Loathing Bomb,Spirit Bomb 1,Destroy a soul to inflict poison in an area.,3,Active (Ailment),,
,Gravekeeper,"Soul Swap 1, Loathing Bomb 1",Command souls to deal overkill damage on counter.,3,Active (State),,
,Poltergeist,Loathing Bomb 3,Destroy a soul to control an enemy this turn.,3,Active (Cond.),,
,Ghastly Haunt,"PROMO, Greater Spirit 1","Attempt to instakill. If successful, spawn a Souldier.",3,Active (Ailment),,
,Hellish Dance,"Gravekeeper 1, Soul Charge 2",Command souls to strike targets within range.,5,Active (State),,
,Immortal Legion,"Gravekeeper 3, Soul Shield 2, ",Command souls to survive lethal hits.,5,Active (State),,
,Unfair Trade,"PROMO, Poltergeist 3, Soul Boon 2",Destroy 3 souls to cut HP of every enemy on map.,5,Active (Cond.),,
,,,,,,,
Noble,Rallying Cry,None,Use Rally command to apply buffs for a turn.,1,Active (Buff),X,
Sovereign,Boonful Presence,None,"At start of turn, allies in 2 spaces heal 20% HP.",1,Passive,X,Turn Start
,Rich Living,Fortune Rally 2,"When defeating enemies, gain 10*their Level in Gold.",1,Passive,X,
,Rallying Thrust,"PROMO, Rallying Cry 1",Attacking applies the Rally command after combat.,1,Passive (Buff),X,
,Health Rally,Rallying Cry 1,Rallied targets recover some HP.,2,Passive (Buff),X,
,Fortune Rally,"Rallying Cry 1, Guard Rally 1",Adds a luck bonus to Rally.,2,Passive (Buff),X,
,Proud Nobility,Health Rally 2,+Mov if there are no damaged allies.,2,Passive,X,
,Attack Rally,Rallying Cry 1,Adds an attack bonus to Rally.,3,Passive (Buff),X,
,Guard Rally,Rallying Cry 1,Adds a defense bonus to Rally.,3,Passive (Buff),X,
,Haste Rally,Rallying Cry 1,Adds a speed bonus to Rally.,3,Passive (Buff),X,
,Imbue Rally,"Rallying Cry 1, Attack Rally 3",Rallied targets deal Mag-based bonus damage.,3,Passive (Buff),X,
,Thrift Rally,"PROMO, Fortune Rally 2, Proud Nobility 2",Rallied targets use less weapon durability on arts (min 1).,3,Passive (Buff),X,
,Strike Decree,Attack Rally 3,Command an adjacent ally to attack. 5/map.,5,Active (Support),,
,Stun Decree,"Guard Rally 3, Fortune Rally 2",Command an adjacent enemy to stand still. 2/map.,5,Active (Support),,
,Overlord Decree,"PROMO, Proud Nobility 2, Stun Decree 5, Rich Living 1",Command an adjacent enemy to turn green. 1/map.,5,Active (Support),,
,,,,,,,
Duelist,Unburdened,None,+20 Avo per empty inventory slot.,1,Passive,X,
Fencer,Rebound,None,"On taking damage, sharply boosts Avo.",1,Passive (Buff),X,
,Fancy Footwork,Unburdened 1,"After action, user can move remaining Mov+2 tiles.",1,Passive,X,"canto shit, PostBattle"
,Fleetfoot,PROMO,+1 Mov per empty inventory slot.,1,Passive,X,
,Blinding Stab,None,A stab that blinds.,2,Attack (Ailment),,
,Riposte Stab,None,A stab so fast that the enemy can't counter.,2,Attack,,
,Retreat Stab,Riposte Stab 2,"Stab, then move a space away from enemy.",2,Attack,,
,Predict,None,Significantly boosts Avo and draw rate for the turn.,3,Active (State),,
,Haze Curtain,None,Debuffs enemy Hit in a large area.,3,Active (Debuff),,
,Counter Stance,Predict 2,Significantly increases EP Atk for a turn.,3,Active (State),,
,Sapping Stance,Predict 2,Dodges debuff enemies for a turn.,3,Active (State),,
,Step Stab,"PROMO, Fancy Footwork 1","Stab, then after combat, +3 spaces Canto.",3,Attack,,PostBattle
,Blurred Stab,"Riposte Stab 2, Predict 2","Extremely powerful, only usable after a dodge last EP.",5,Attack (Cond.),,
,Thunderclap,"Haze Curtain 3, Rebound 1, Counter Stance 3","Almighty, power scales with Avo, disables Avo for a turn.",5,Attack (State),,
,Gale Duelist,"PROMO, Step Stab 3, Fleetfoot 1, Retreat Stab 2","Get a second turn per phase, halving Move during it.",5,Passive (State),X,PostBattle
,,,,,,,
Driver,Imperial Pride,None,1.2x Atk vs. bosses.,1,Passive,X,
Imperial,Heat Shield,Assault Drive 1,1.3x Def/Res while Overheated.,1,Passive (State),,
,Marching Orders,Bloody Edge 1,"At start of turn, match Mov with highest movement ally. idk change it",1,Passive,-?,Turn Start - will be fucked
,Ruthless Efficiency,PROMO,Halves blade cooldown upon kills.,1,Passive (State),,
,Heat Sink,Assault Drive 1,Remove a number of turns from Overheat.,2,Active (State),,
,Bloody Edge,Great Edge 1,Follow Great Edge to sap HP.,2,Attack (State),,
,Frigid Edge,Great Edge 2,Follow Great Edge to hasten cooldown.,2,Attack (State),,
,Assault Drive,None,A mighty strike that Overheats drive blades.,3,Attack (State),,
,Great Edge,None,A powerful slash that begins a combo.,3,Attack (State),,
,Intercooler,Heat Sink 1,Passively reduces Overheat duration.,3,Passive (State),,
,Burst Drive,Assault Drive 3,A ranged strike that Overheats more than average.,3,Attack (State),,
,Ignition,"PROMO, Heat Sink 2, Frigid Edge 2","Massively debuff defenses to cancel Overheat, 1/map.",3,Active (State),,
,Charge Edge,"Great Edge 3, Frigid Edge 2, Bloody Edge 2",Follow Great Edge to amplify damage next turn.,5,Attack (State),,
,Massive Edge,"Great Edge 3, Burst Drive 3",Follow Great Edge to damage a wide area.,5,Attack (State),,PostBattle
,Megido Drive,"PROMO, Charge Edge 5, Intercooler 3",A ludicriously powerful drive that severely Overheats.,5,Attack (State),,
,,,,,,,
Artifice,Reboot,None,Clears all binds from the user.,1,Active (Support),,
Automaton,Magnet Pulse,None,Attempt to stun all enemies and allies in range.,1,Active (Ailment),X,
,Craft Turret,None,Places a turret that attacks in a range. Turret cap is 2.,1,Active (Support),X,
,Machine Precision,PROMO,Unit's attacks will never miss (ailments still can).,1,Passive,X,
,Rocket Punch,Reboot 1,Bind arms for a double attack.,2,Attack,,
,Rocket Jump,Reboot 1,Bind legs to jump a distance away.,2,Active (Support),,
,Rocket Headbutt,Reboot 1,Bind head for a stunning attack.,2,Attack (Ailment),,
,Breaking Pulse,Magnet Pulse 1,Pulse also reduces Def.,3,Passive (Debuff),X,
,Grating Pulse,Magnet Pulse 1,Pulse also binds heads.,3,Passive (Ailment),X,
,Sonic Pulse,Magnet Pulse 1,Pulse also deals flat Str-based damage.,3,Passive,X,
,Burning Pulse,Magnet Pulse 1,Pulse also deals a fixed percentage of HP.,3,Passive,X,
,Unlimited Pulse,"PROMO, Magnet Pulse 1",Pulse has a greater area of effect.,3,Passive,X,
,Shot Command,Craft Turret 1,Command turrets and ranged allies to attack.,5,Active (Support),,
,Resupply Command,Craft Turret 1,Command turrets to replenish their HP/Ammo.,5,Active (Support),,
,Destruct Command,"PROMO, Craft Turret 1",Command turrets to explode for large damage.,5,Active (Support),,
,,,,,,,
Common,HP+/++,None/HP+,+4/9 Max HP.,2,Passive,X,
,Str+/++,None/Str+,+2/5 Str.,2,Passive,X,
,Mag+/++,None/Mag+,+2/5 Mag.,2,Passive,X,
,Skl+/++,None/Skl+,+3/7 Skl.,2,Passive,X,
,Spd+/++,None/Spd+,+2/5 Spd.,2,Passive,X,
,Luck+/++,None/Luck+,+3/7 Luck.,2,Passive,X,
,Def+/++,None/Def+,+2/5 Def.,2,Passive,X,
,Res+/++,None/Res+,+3/7 Res.,2,Passive,X,
